feature,importance_lgbm,importance_xgb,importance_rf
item_month_mean,1308,0.024942387,0.018768416672193568
rolling_mean_28,1119,0.13444455,0.04182746174591551
sell_price,1026,0.0039114263,0.010056706935763502
item_mean,867,0.00586627,0.09703811776076139
item_dow_mean,716,0.026378978,0.1362231959687212
rolling_mean_7,599,0.6203058,0.5402865050973575
week_of_year,531,0.0026043984,0.009079630124453548
lag_14,468,0.0060062744,0.013709275734175326
day_of_week,442,0.004410831,0.005943934742472904
year,430,0.006726476,0.004713358375274439
item_id,397,0.002504615,0.0032881408542185186
is_snap_day,344,0.0041913255,0.006305901866947783
cat_month_mean,333,0.0028488408,0.0055582884054918465
lag_7,332,0.017100746,0.0490081933868514
store_id,280,0.003017663,0.001625785724405558
lag_28,279,0.005556677,0.012960774331221609
days_since_last_event,224,0.0019228213,0.008725092255415243
days_to_next_event,219,0.0018823761,0.00826944568676225
store_dow_mean,215,0.0020320138,0.005699559507333985
rolling_std_7,188,0.09066346,0.013442265151391308
store_mean,135,0.0028661548,0.001125558384398548
month,112,0.0037838477,0.0022839480635393162
dept_mean,102,0.0023734435,0.0007579856882630318
is_weekend,101,0.005159619,0.0019740009939329937
dept_id,77,0.0029306402,0.0003345000750333416
is_sporting_event,52,0.0036487223,0.00018461541217673773
price_change,18,0.0018881325,4.745906526975784e-06
state_id,16,0.0018359666,0.0002695962383580929
state_mean,15,0.0023927765,0.0003008689691748606
cat_id,12,0.001564697,9.059936261711992e-05
is_religious_event,4,0.0011757471,5.416615526157616e-05
is_cultural_event,1,0.0013767302,2.0415336845029056e-05
is_national_event,0,0.0016855403,6.894908674399146e-05
