lead_time,service_level,safety_stock_units_ML_Gaussian_red_%,safety_stock_units_ML_Quantile_red_%,safety_stock_cost_ML_Gaussian_red_%,safety_stock_cost_ML_Quantile_red_%,holding_cost_ML_Gaussian_red_%,holding_cost_ML_Quantile_red_%,total_cost_ML_Gaussian_red_%,total_cost_ML_Quantile_red_%
7,0.9,1.031079081393556,-25.417346666281905,0.4827331253455893,-28.391760072666766,0.03822992188019438,-1.3690140890077327,0.02724389981412096,-0.6939524263940363
7,0.95,1.0310790813935535,-36.07230587024486,0.4827331253455867,-38.71813279418848,0.04428728889330587,-2.374394619297326,0.03044622948786901,-1.2173902981487315
7,0.99,1.0310790813935553,-67.5168412750111,0.4827331253455898,-71.78306334243855,0.055214289769700685,-6.093458932447341,0.03633262360952901,-3.1746038745078726
10,0.9,1.0310790813935509,-25.41734666628192,0.48273312534560026,-28.39176007266677,0.04042752404504574,-1.5026132275776634,0.02840076938655681,-0.7643004150907825
10,0.95,1.0310790813935429,-36.07230587024487,0.4827331253455879,-38.71813279418846,0.04702790029417562,-2.6015699164741424,0.03190921683552759,-1.338691870894273
10,0.99,1.0310790813935524,-67.51684127501107,0.48273312534558704,-71.78306334243857,0.05889070566893291,-6.65835171838168,0.038345570918587785,-3.4839790058724134
14,0.9,1.0310790813935542,-25.417346666281908,0.4827331253455942,-28.39176007266677,0.043045945757325635,-1.6617953082851504,0.029786487654399122,-0.8485644456827183
14,0.95,1.0310790813935402,-36.07230587024487,0.48273312534558827,-38.71813279418847,0.05028392893238492,-2.871469280267773,0.03365892766453727,-1.483766724579913
14,0.99,1.0310790813935578,-67.5168412750111,0.48273312534560164,-71.78306334243855,0.0632360077643488,-7.326020957571797,0.04074627534471754,-3.8529495416861743
21,0.9,1.0310790813935522,-25.417346666281915,0.4827331253455896,-28.39176007266677,0.04702570097764446,-1.9037371290810425,0.03190803924066067,-0.9775737052968404
21,0.95,1.031079081393539,-36.072305870244875,0.48273312534558965,-38.71813279418848,0.05521334984105059,-3.2800798039961685,0.03633211108558935,-1.705410031154025
21,0.99,1.0310790813935555,-67.51684127501109,0.48273312534559476,-71.78306334243854,0.06976840746119466,-8.329744574467796,0.04439991263127031,-4.414486602489241
