lead_time,service_level,Classical,ML_Empirical_Quantile,ML_Gaussian,reduction_ML_Quantile_vs_Classical_%
7,0.9,112505.64659886784,88172.98315549658,112488.00566002908,21.62794862210598
7,0.95,112964.10977028715,88975.96350495519,112944.25567785244,21.23519258825828
7,0.99,113823.99637916443,91139.45390664577,113799.99132922826,19.929490436228512
10,0.9,112670.52476617886,88384.67313648274,112652.08790581004,21.554751502307887
10,0.95,113175.72657538226,89269.51438566184,113154.85093853057,21.12309141995864
10,0.99,114123.27546828399,91653.56469387868,114097.8256990474,19.688981657952734
14,0.9,112869.1272900662,88639.66241245045,112849.73170952681,21.466866502252323
14,0.95,113430.62770798392,89623.1084772781,113408.52157892828,20.988616312691093
14,0.99,114483.76942218468,92272.83225105357,114456.57942921775,19.400948521552674
21,0.9,113175.55568743957,89033.09122520057,113154.68087552057,21.33187181242034
21,0.95,113823.92052230933,90168.67692572402,113799.91583855933,20.7823131447567
21,0.99,115039.98382668658,93228.31439385886,115010.10880254119,18.960076929155413
