lead_time,service_level,policy,total_safety_stock_units,total_safety_stock_cost,total_holding_cost,total_ordering_cost,total_cost,num_series,service_level_label
7,0.9,Classical,2938.7698636391806,1617.3036071868519,33184.594600173295,31567.29099298644,64751.885593159735,501,90%
7,0.9,ML_Empirical_Quantile,3685.727187604571,2076.484566985928,33638.89637562977,31562.336498739587,65201.23287436936,501,90%
7,0.9,ML_Gaussian,2908.468822324899,1609.4963469375518,33171.90815558139,31562.336498739587,64734.24465432098,501,90%
7,0.95,Classical,3771.8340735799684,2075.7667786061584,33643.0577715926,31567.29099298644,65210.34876457904,501,95%
7,0.95,ML_Empirical_Quantile,5132.421597519851,2879.464916444539,34441.87672508838,31562.336498739587,66004.21322382797,501,95%
7,0.95,ML_Gaussian,3732.943481462411,2065.7463647609075,33628.15817340475,31562.336498739587,65190.494672144334,501,95%
7,0.99,Classical,5334.316739843808,2935.653387483437,34502.944380469875,31567.29099298644,66070.23537345632,501,99%
7,0.99,ML_Empirical_Quantile,8935.878906190499,5042.955318135116,36605.367126778954,31562.336498739587,68167.70362551854,501,99%
7,0.99,ML_Gaussian,5279.315715804004,2921.4820161367247,34483.89382478056,31562.336498739587,66046.23032352015,501,99%
10,0.9,Classical,3238.3666660654653,1782.1817744978696,33349.47276748431,31567.29099298644,64916.76376047075,501,90%
10,0.9,ML_Empirical_Quantile,4061.473547904641,2288.1745479721,33850.58635661594,31562.336498739587,65412.92285535553,501,90%
10,0.9,ML_Gaussian,3204.9765447928426,1773.5785927184963,33335.99040136234,31562.336498739587,64898.32690010192,501,90%
10,0.95,Classical,4156.358714896289,2287.3835837012684,33854.67457668771,31567.29099298644,65421.96556967415,501,95%
10,0.95,ML_Empirical_Quantile,5655.653143598257,3173.0157971511926,34735.427605795034,31562.336498739587,66297.76410453462,501,95%
10,0.95,ML_Gaussian,4113.503369639316,2276.3416254390254,33838.753434082864,31562.336498739587,65401.089932822455,501,95%
10,0.99,Classical,5878.130754734778,3234.932476602991,34802.22346958943,31567.29099298644,66369.51446257587,501,99%
10,0.99,ML_Empirical_Quantile,9846.858966346668,5557.066105368032,37119.47791401187,31562.336498739587,68681.81441275147,501,99%
10,0.99,ML_Gaussian,5817.522578145747,3219.316385955866,34781.72819459971,31562.336498739587,66344.0646933393,501,99%
14,0.9,Classical,3599.243318692246,1980.784298385214,33548.07529137166,31567.29099298644,65115.3662843581,501,90%
14,0.9,ML_Empirical_Quantile,4514.075470367244,2543.1638239398,34105.57563258364,31562.336498739587,65667.91213132323,501,90%
14,0.9,ML_Gaussian,3562.132273744755,1971.2223964352643,33533.634205079106,31562.336498739587,65095.97070381869,501,90%
14,0.95,Classical,4619.5344373571115,2542.2847163029323,34109.57570928938,31567.29099298644,65676.86670227582,501,95%
14,0.95,ML_Empirical_Quantile,6285.907029381864,3526.6098887674593,35089.0216974113,31562.336498739587,66651.35819615089,501,95%
14,0.95,ML_Gaussian,4571.903384115752,2530.01226583674,34092.42407448058,31562.336498739587,65654.76057322016,501,95%
14,0.99,Classical,6533.177069502005,3595.426430503685,35162.717423490125,31567.29099298644,66730.00841647657,501,99%
14,0.99,ML_Empirical_Quantile,10944.171861733095,6176.333662542923,37738.74547118676,31562.336498739587,69301.08196992635,501,99%
14,0.99,ML_Gaussian,6465.814847387969,3578.0701161262127,35140.48192477005,31562.336498739587,66702.81842350964,501,99%
21,0.9,Classical,4156.04819785186,2287.2126957585747,33854.50368874501,31567.29099298644,65421.79468173146,501,90%
21,0.9,ML_Empirical_Quantile,5212.4053759176295,2936.592636689923,34499.00444533376,31562.336498739587,66061.34094407335,501,90%
21,0.9,ML_Gaussian,4113.196054271176,2276.171562429038,33838.58337107288,31562.336498739587,65400.91986981247,501,90%
21,0.95,Classical,5334.17890187775,2935.577530628339,34502.86852361478,31567.29099298644,66070.15951660123,501,95%
21,0.95,ML_Empirical_Quantile,7258.340231029161,4072.178337213378,35634.59014585722,31562.336498739587,67196.92664459681,501,95%
21,0.95,ML_Gaussian,5279.179299056381,2921.406525467794,34483.81833411164,31562.336498739587,66046.15483285123,501,95%
21,0.99,Classical,7543.863079480947,4151.640835005596,35718.93182799203,31567.29099298644,67286.22282097848,501,99%
21,0.99,ML_Empirical_Quantile,12637.241140858261,7131.8158053482075,38694.22761399205,31562.336498739587,70256.56411273163,501,99%
21,0.99,ML_Gaussian,7466.079885339447,4131.59948944965,35694.011298093494,31562.336498739587,67256.34779683308,501,99%
