lead_time,stockout_multiplier,stockout_mult_label,service_level,service_level_label,CLASSICAL,ML_GAUSSIAN,ML_EMP_QUANTILE,pct_reduction_quantile_vs_classical,pct_reduction_gaussian_vs_classical
7,0.4,Lost margin (0.4x),0.95,95%,61020.17,61010.15,61824.63,-1.3183509649350356,0.016420799876494606
7,1.0,Full cost (1.0x),0.95,95%,61020.17,61010.15,61824.63,-1.3183509649350356,0.016420799876494606
7,2.0,With reputation (2.0x),0.95,95%,61020.17,61010.15,61824.63,-1.3183509649350356,0.016420799876494606
10,0.4,Lost margin (0.4x),0.95,95%,62124.85,62113.81,63011.31,-1.426900829539225,0.01777066664949835
10,1.0,Full cost (1.0x),0.95,95%,62124.85,62113.81,63011.31,-1.426900829539225,0.01777066664949835
10,2.0,With reputation (2.0x),0.95,95%,62124.85,62113.81,63011.31,-1.426900829539225,0.01777066664949835
14,0.4,Lost margin (0.4x),0.95,95%,63587.5,63575.22,64572.75,-1.549439748378219,0.019311971692547805
14,1.0,Full cost (1.0x),0.95,95%,63587.5,63575.22,64572.75,-1.549439748378219,0.019311971692547805
14,2.0,With reputation (2.0x),0.95,95%,63587.5,63575.22,64572.75,-1.549439748378219,0.019311971692547805
21,0.4,Lost margin (0.4x),0.95,95%,66183.56,66169.39,67321.23,-1.7189616273285968,0.02141015079877579
21,1.0,Full cost (1.0x),0.95,95%,66183.56,66169.39,67321.23,-1.7189616273285968,0.02141015079877579
21,2.0,With reputation (2.0x),0.95,95%,66183.56,66169.39,67321.23,-1.7189616273285968,0.02141015079877579
