id,cat_id,state_id,store_id,dept_id
FOODS_3_821_CA_1_validation,0,0,0,2
FOODS_3_583_CA_3_validation,0,0,2,2
FOODS_1_190_CA_2_validation,0,0,1,0
FOODS_3_709_CA_2_validation,0,0,1,2
FOODS_3_385_CA_2_validation,0,0,1,2
FOODS_3_714_CA_1_validation,0,0,0,2
FOODS_3_753_CA_4_validation,0,0,3,2
FOODS_3_570_CA_4_validation,0,0,3,2
FOODS_3_493_CA_3_validation,0,0,2,2
FOODS_1_104_CA_3_validation,0,0,2,0
FOODS_2_398_CA_2_validation,0,0,1,1
FOODS_3_469_CA_4_validation,0,0,3,2
FOODS_3_163_CA_4_validation,0,0,3,2
FOODS_3_282_CA_3_validation,0,0,2,2
FOODS_3_430_CA_1_validation,0,0,0,2
FOODS_3_567_CA_4_validation,0,0,3,2
FOODS_3_620_CA_1_validation,0,0,0,2
FOODS_1_087_CA_2_validation,0,0,1,0
FOODS_2_201_CA_1_validation,0,0,0,1
FOODS_1_036_CA_3_validation,0,0,2,0
FOODS_2_327_CA_4_validation,0,0,3,1
FOODS_2_076_CA_3_validation,0,0,2,1
FOODS_3_483_CA_3_validation,0,0,2,2
FOODS_3_007_CA_4_validation,0,0,3,2
FOODS_3_770_CA_1_validation,0,0,0,2
FOODS_2_199_CA_2_validation,0,0,1,1
FOODS_3_814_CA_2_validation,0,0,1,2
FOODS_3_757_CA_1_validation,0,0,0,2
FOODS_3_046_CA_1_validation,0,0,0,2
FOODS_3_154_CA_1_validation,0,0,0,2
FOODS_3_019_CA_2_validation,0,0,1,2
FOODS_2_220_CA_1_validation,0,0,0,1
FOODS_2_156_CA_4_validation,0,0,3,1
FOODS_3_159_CA_2_validation,0,0,1,2
FOODS_1_152_CA_4_validation,0,0,3,0
FOODS_1_214_CA_2_validation,0,0,1,0
FOODS_2_271_CA_1_validation,0,0,0,1
FOODS_1_205_CA_4_validation,0,0,3,0
FOODS_3_009_CA_3_validation,0,0,2,2
FOODS_2_087_CA_3_validation,0,0,2,1
FOODS_3_668_CA_1_validation,0,0,0,2
FOODS_3_781_CA_3_validation,0,0,2,2
FOODS_2_172_CA_3_validation,0,0,2,1
FOODS_3_144_CA_1_validation,0,0,0,2
FOODS_1_043_CA_1_validation,0,0,0,0
FOODS_2_036_CA_3_validation,0,0,2,1
FOODS_3_413_CA_1_validation,0,0,0,2
FOODS_3_287_CA_1_validation,0,0,0,2
FOODS_2_332_CA_1_validation,0,0,0,1
FOODS_3_491_CA_4_validation,0,0,3,2
FOODS_2_127_CA_3_validation,0,0,2,1
FOODS_3_344_CA_2_validation,0,0,1,2
FOODS_2_154_CA_1_validation,0,0,0,1
FOODS_1_113_CA_3_validation,0,0,2,0
FOODS_3_608_CA_3_validation,0,0,2,2
FOODS_3_123_CA_2_validation,0,0,1,2
FOODS_1_162_CA_2_validation,0,0,1,0
FOODS_3_516_CA_4_validation,0,0,3,2
FOODS_2_201_CA_3_validation,0,0,2,1
FOODS_1_096_CA_1_validation,0,0,0,0
FOODS_2_073_CA_1_validation,0,0,0,1
FOODS_3_222_CA_1_validation,0,0,0,2
FOODS_2_279_CA_1_validation,0,0,0,1
FOODS_2_360_CA_1_validation,0,0,0,1
FOODS_3_289_CA_3_validation,0,0,2,2
FOODS_3_057_CA_4_validation,0,0,3,2
FOODS_3_813_CA_4_validation,0,0,3,2
FOODS_1_157_CA_2_validation,0,0,1,0
FOODS_3_199_CA_1_validation,0,0,0,2
FOODS_1_145_CA_2_validation,0,0,1,0
